publishedAt,textDisplay,label
2024-01-07T14:56:47Z,ganjar makan sukses keren bgt,0.0
2024-01-09T18:18:41Z,ya yg omong hati amp yg indah literasi amp janjijanji brsalam damai amp toleransi,1.0
2024-01-09T16:51:46Z,disni ganjar kuasa materi prabowo tulus layan rakyat,1.0
2024-01-09T15:38:13Z,kalo rela mati knp gabung jokowi hrsnya jd oposisi utk kontrol kerja jokowi,0.0
2024-01-12T12:14:45Z,lu komen tonton pake otak ambil potong ganjar anies liat visi misi,1.0
2024-01-08T18:30:57Z,tema perthanan bos pas jabat prabowo jqdi menhan prabowo transfaran paslon,1.0
2024-01-08T10:20:49Z,no sibuk menjatukan no sibuk pikir negara maju kemarin sampe skrg setia dukung probowo,1.0
2024-01-08T09:43:59Z,mosok,1.0
2024-01-08T05:11:39Z,istanamassage gimana kasih bambang kalo lihat prestasi d acara debatliat aja d prestasi jabat paslon paslon gubernur ya prestasi paslon menhan lihat prestasi nya paslon otu prestasi gubernur nilai paslon gak ribetquot liat aja kerja nya d perintah kaua gimana,0.0
2024-01-08T02:17:29Z,haru bgt dgn yg aniesbeliau kondisi indonesiatahu kondisi masyarakat indonesia,1.0
2024-01-08T01:54:00Z,pk anies cocok jdi sales marketing ganjar cocok jdi motivator pk prabowo cocok jdi ri,1.0
2024-01-08T01:27:39Z,strategi attack sahquot aja emg debat personal mas jalan tema seru debat kali,0.0
2024-01-07T21:35:00Z,no,1.0
2024-01-07T23:49:06Z,debat adu argumen adu gagas salah ga kritik ga maju pola pikir ky lu,0.0
2024-01-07T23:07:33Z,nama debat ya gitu kalo musyawarah gak jatuh,0.0
2024-01-07T18:45:15Z,cmn susah byk yg hasut bruh jdi baperan yg bilang dingin cmn dingin sipenghasut panas yg kena hasut,1.0
2024-01-07T17:14:20Z,no calon yg baik masa semangat pk prabowoniat tulus bangsa indonesia,1.0
2024-01-07T17:29:21Z,prabowo emang nya d menhan,1.0
2024-01-07T17:02:58Z,ganjar moga allah pimpin amanah rakyat indonesia,1.0
2024-01-07T16:57:24Z,anis baswedan sosok pimpin layak pimpin negerei brbrpaket komplit anies brsemoga menang tggl feb amin,1.0
2024-01-07T16:24:28Z,wowo aamiin,1.0
2024-01-07T16:49:56Z,pimpin ancam apa titik,1.0
2024-01-07T17:02:19Z,ganjar yg pimpin indonesia amin pandai omon omon prabowo pantas pimpin,1.0
2024-01-07T16:02:01Z,ragu pilih nomer karna debat main aman ganjar g visi misi yg,1.0
2024-01-07T15:41:01Z,yg enak jelas anis jelastegasakuratsesuai,1.0
2024-01-07T16:13:52Z,menang,0.0
2024-01-07T15:29:25Z,orang pintar cerdas iman jatuh paselon kayaknanis isi hati xumaniri dengki berfikir jelek prabowo ganjar yg cermin hati yg busuk anis mbokyao lomba lomba bicara yg berfikir orangblai jelek anis yg jelek hati busuk ak salut prabowo ganjar,1.0
2024-01-07T15:23:48Z,lihat polingnya debat no ttep tinggi,1.0
2024-01-07T15:14:24Z,lu nikahin aja prabowo mumpung jomblo,1.0
2024-01-20T10:05:37Z,hati dgn pilih andakarena tentu rakyat indonesiajangan sesal dtg nya terlambatdari hati kamisuara utk prabowo mas gibran,1.0
2024-01-13T17:39:39Z,rakyat butuh actiontindakan dar teoriberkata moga rakyat indonesia bijaksana pilih pimpin,1.0
2024-01-10T16:31:25Z,debat tau kalo visi misi paslon yg menjatohkan harga orang dg nyinyir,0.0
2024-01-10T16:24:13Z,siappp dukung bp prabowo gibran ri yg sabar ya,1.0
2024-01-10T13:22:28Z,insya allah prabowo the winner nya mari dukung capres sabar amp suka salah kandidat aamiin,1.0
2024-01-09T14:25:17Z,prabowo sosok pimpin yg milik indonesia karna prabowo cari kaya cari sejahtera rakyatny,1.0
2024-01-10T10:07:55Z,dansojelita serah hak singgung agama mu lucu lu,1.0
2024-01-11T02:58:31Z,smakin kliatan klo kritis dlm brfikir smoga amin menang,1.0
2024-01-08T14:31:08Z,salut prabowo moga presiden amanah indonesia emas,1.0
2024-01-08T06:36:33Z,anis kayak emang ngerasa udah gabakal presiden jatuhin prabowo semangatt all prabowo,1.0
2024-01-08T06:09:33Z,judunyal aja debat ya upaya jatuh lawan debat cari titik lemahnyakalau tuju dapat ya ndak debat,1.0
2024-01-08T03:38:51Z,iya bang,0.0
2024-01-08T00:45:47Z,bunggg tpi ikhlas bareng pikir teori maju indonesia yah zonk lo presiden ambil putus negara modal ikhlas dukung teori selesai negeri putus baik,1.0
2024-01-07T23:26:52Z,kali ganjar jitu jeli adem sopan bagus ken dukung ganjar,1.0
2024-01-07T19:20:22Z,saluttt bgt sm prabowo,1.0
2024-01-07T19:17:40Z,dua penuh intrik penuh dg hasrat siasat tarik perhati masyarakat prabowo ihlas tulus pikir bangsa negara indonesia cinta prabowo legowo,1.0
2024-01-07T20:00:08Z,hahahaha bot ya blunder gitu pilih,1.0
2024-01-07T18:47:26Z,alutsista bekas food estate anggar tahan yg lu maksud nyerang bro,1.0
2024-01-07T18:00:39Z,prabowo yg makmur rakyat cinta tanah air setia rakyat,1.0
2024-01-07T17:24:12Z,yg rahasia yg dipublis yg putar yg dipublis sebenernya jangn elak kalo elak tau tdk kuasa,1.0
2024-01-07T19:13:33Z,sabar kalo mah emang gaada bahan rujuk debat kuasa topik bicara,1.0
2024-01-07T16:55:10Z,abah masyaallah tabarakallah allahuakbar abahallah swt menang abah,0.0
2024-01-07T16:34:24Z,amin mantabbb aamiin,1.0
2024-01-07T16:33:52Z,pimpin muluk byk umbar janji jatuh lawan jatuh manusia jatuh benar cari jalan gama,1.0
2024-01-07T16:36:20Z,no bukti berani no,1.0
2024-01-07T16:12:53Z,nanam singkong yg ngerjakan usaha udah gagal total pakai uang rakyat tp yg tanggungjawab,1.0
2024-01-07T15:56:39Z,prabowo mantab,1.0
2024-01-07T15:56:28Z,prabowo gibran,1.0
2024-01-07T15:52:01Z,serang akademis memang boleh tendensius objektif kaya ga nyaman banget denger akademisibrbrnoted quotsemakin bicara celah dapat salah kalimat keluar,1.0
2024-01-07T16:02:59Z,coba check mata najwa nobar mata najwa data nya yg sesuai fakta yg kata fakta nya anis baswedan data yg jokowi lahan brp ratus hektar rumah militer tahan,0.0
2024-01-07T15:31:41Z,skor debat capres tiga branies brganjar brprabowo brbr gagas omonomon,1.0
2024-01-07T15:10:58Z,mudah calon capres indonesia jujur pinter sayang rakyat plonga plongo,1.0
2024-01-07T15:06:47Z,insyaallah allah meridoi nomor amn,1.0
2024-01-07T15:02:36Z,anies ri cerdas,1.0
2024-01-07T15:03:02Z,ahli mnjadi nomor indonesiq,0.0
2024-01-09T14:52:26Z,banget,1.0
2024-01-09T13:06:42Z,tahun hebat debat nya lucu pa prabowo hebat pa terima kasih jaga tahan negara pa sehat ya pa indonesia nya orang bapa pa maju indonesia merdeka pa,1.0
2024-01-09T14:12:31Z,gimana gak jatohin rakyat milih putus asa bahas visi misi mending ngejatuhin upss,0.0
2024-01-08T11:49:27Z,lihat debat jdi gak golput suara guna indonesia maju no,1.0
2024-01-08T11:03:21Z,wkkwkw dukung sono orang emosi,0.0
2024-01-08T06:58:56Z,ganjar muas,1.0
2024-01-08T03:37:15Z,bismilah ganjar,1.0
2024-01-08T01:15:38Z,iyamalah cuman pengin menjatuhkankacang lupa kulit nya omong manis banyak makan gula,0.0
2024-01-08T01:30:26Z,liat anis ken banged jatuhin calon is another busuk tetep prabowo,0.0
2024-01-07T23:28:58Z,papar p anies buka wawas tetang tahan bangsa amat pakar yg cenderung ga ubah sisi yg sempit tahan pondasi dasar rakyat jendral sudirman,1.0
2024-01-07T22:24:05Z,politik jatuh hidup prabowo bicara kerja nyata,1.0
2024-01-07T20:31:52Z,percaya hebat apa drama panggung debat pimpin negeri ending nya samalo gak kerja lo gak makan a href,0.0
2024-01-07T20:18:47Z,probowo negarawan konsisten jaga juang rakyat banding sibuk layan serang paslon gak alam negara beliau tau jaga rahasia tahan dalam konflik penting urai banding bicara,1.0
2024-01-07T19:26:23Z,allah maha kalo jelek bawa bawa nama allah,1.0
2024-01-07T20:41:42Z,paslon pandai berkatakata hati perhati mimik eksperesi wajah jatuh lawan paslon kasiaan liat prabowo bahan serang debat capres prabowo hati tulus ikhlas negara x coblos beliau tegar percaya negara prabowo menang,1.0
2024-01-07T18:37:25Z,anis yg paham negara beliau bicara yg menjdi nyata yg negara yg kunjung selesai indonesia butuh pimpin anis cerdas santun gap,1.0
2024-01-07T18:25:18Z,mantap dukung no amin,1.0
2024-01-07T19:08:44Z,gada kerja bro,1.0
2024-01-07T16:41:19Z,moga njenengan pilih pimpin negara prabowo,1.0
2024-01-07T16:18:20Z,yong anis amin cerdas sinar gagah pilih amin insya alloh menang,1.0
2024-01-07T15:41:34Z,amin,1.0
2024-01-07T15:40:48Z,amiin,1.0
2024-01-07T15:57:09Z,yg ambisi capres berkalikali,1.0
2024-01-07T16:21:08Z,emosional tri tahan loh yaiyalah ngomong nya kalo anis mah banyak puitis udah kyk vicky prasetyo,0.0
2024-01-07T16:10:50Z,nama debat gimana sih,1.0
2024-01-07T16:16:51Z,yg serang menhan keperibadian,1.0
2024-01-07T15:27:28Z,gama baik,1.0
